0	HalftimeHash24	clhash
284	6.9268292682926828618	16.705882352941177516
286	6.8095238095238093123	16.823529411764706509
288	6.6976744186046515139	24
290	7.0731707317073171382	17.058823529411764497
292	6.7906976744186042794	17.176470588235293491
294	6.6818181818181816567	17.294117647058822484
296	6.727272727272727515	26.90909090909091006
298	6.9302325581395347598	17.529411764705884025
300	6.8181818181818183433	17.647058823529413019
303	6.4468085106382977401	17.823529411764706509
306	6.7999999999999998224	18
309	6.5744680851063828086	18.176470588235293491
312	6.2400000000000002132	26
315	6.4285714285714288252	17.5
318	6.4897959183673465944	17.666666666666667851
321	9.1714285714285708195	17.833333333333332149
324	9	18
327	9.0833333333333339255	18.166666666666667851
330	9.1666666666666660745	18.333333333333332149
333	9	18.5
336	8.6153846153846149747	25.8461538461538467
339	8.921052631578946901	18.833333333333332149
342	8.7692307692307700506	19
345	8.4146341463414628947	19.166666666666667851
348	8.4878048780487809211	19.333333333333332149
351	8.1627906976744188938	19.5
354	8.4285714285714288252	18.63157894736842124
357	8.3023255813953493742	18.789473684210527438
360	8.1818181818181816567	27.692307692307693401
363	8.4418604651162798547	19.105263157894736281
366	8.1333333333333328596	19.263157894736842479
369	8.1999999999999992895	19.421052631578948677
372	8.0869565217391308209	19.578947368421051323
375	7.8125	19.736842105263157521
378	8.4000000000000003553	19.894736842105263719
381	7.77551020408163307	20.052631578947369917
384	10.666666666666666075	25.600000000000001421
387	10.75	19.350000000000001421
390	10.263157894736842479	19.5
393	10.342105263157895578	20.684210526315791157
396	10.702702702702703519	19.800000000000000711
399	9.9749999999999996447	19.949999999999999289
402	10.307692307692308376	20.100000000000001421
406	9.6666666666666660745	20.300000000000000711
410	9.7619047619047627506	20.5
414	9.6279069767441853855	20.699999999999999289
418	9.7209302325581390392	20.899999999999998579
422	9.377777777777778212	21.100000000000001421
426	9.6818181818181816567	21.300000000000000711
430	9.3478260869565215074	21.5
434	9.4347826086956523284	21.699999999999999289
438	9.3191489361702135596	21.899999999999998579
442	9.2083333333333339255	22.100000000000001421
446	9.1020408163265305035	22.300000000000000711
450	12.5	21.428571428571427049
454	11.947368421052631859	21.619047619047620401
458	12.378378378378378954	21.809523809523810201
462	11.268292682926828618	22
466	11.650000000000000355	22.190476190476189799
470	11.190476190476189799	22.380952380952379599
474	11.023255813953488413	22.571428571428572951
478	10.622222222222221788	22.761904761904762751
482	10.95454545454545503	21.90909090909091006
486	10.340425531914894108	22.09090909090908994
490	10.888888888888889284	22.272727272727273373
494	10.510638297872340274	22.454545454545453254
498	10.595744680851064246	22.636363636363636687
502	10.458333333333333925	22.818181818181816567
507	10.346938775510203357	23.045454545454546746
512	13.837837837837838606	30.117647058823528994
517	13.605263157894736281	23.5
522	13.736842105263157521	23.727272727272726627
527	12.255813953488372547	23.954545454545453254
532	13.300000000000000711	24.181818181818183433
537	12.20454545454545503	24.40909090909091006
542	12.044444444444444287	23.565217391304347672
547	12.155555555555555003	22.791666666666667851
552	11.744680851063829863	30.666666666666667851
557	11.604166666666666075	23.208333333333332149
562	11.957446808510638903	23.416666666666667851
567	11.571428571428571175	23.625
572	11.673469387755101678	23.833333333333332149
577	16.027777777777778567	24.041666666666667851
582	15.31578947368421062	24.25
587	15.447368421052631859	23.480000000000000426
592	15.17948717948717885	29.600000000000001421
597	14.560975609756097171	23.879999999999999005
602	14.333333333333333925	24.079999999999998295
608	13.511111111111111072	32
614	13.644444444444443931	24.559999999999998721
620	13.478260869565216851	23.8461538461538467
626	13.31914893617021356	24.07692307692307665
632	11.285714285714286476	27.478260869565218627
638	12.759999999999999787	24.538461538461540101
644	16.947368421052630083	24.769230769230770051
650	16.666666666666667851	24.074074074074072627
656	15.255813953488372547	31.238095238095237249
662	15.395348837209303028	24.518518518518519045
668	15.181818181818181657	24.740740740740740478
674	14.977777777777777857	25.92307692307692335
680	14.166666666666666075	32.380952380952379599
686	14.291666666666666075	25.407407407407408328
692	14.122448979591837315	25.629629629629629761
698	14.244897959183672853	25.851851851851851194
704	18.0512820512820511	33.523809523809525501
711	17.341463414634144868	26.333333333333332149
718	17.0952380952380949	25.64285714285714235
725	16.86046511627906952	25.89285714285714235
732	15.913043478260869179	26.14285714285714235
739	16.065217391304347672	26.39285714285714235
746	15.541666666666666075	26.64285714285714235
753	15.060000000000000497	26.89285714285714235
760	14.901960784313725839	31.666666666666667851
767	15.039215686274509665	26.448275862068964415
774	19.350000000000001421	26.689655172413793593
781	18.5952380952380949	26.033333333333334991
788	17.90909090909091006	26.266666666666665719
795	17.282608695652175612	26.5
802	17.434782608695652328	27.655172413793103203
810	16.875	27.93103448275861922
818	16.359999999999999432	27.266666666666665719
826	15.884615384615385025	27.533333333333334991
834	19.395348837209301252	27.800000000000000711
842	21.050000000000000711	27.16129032258064413
850	20.238095238095237249	27.419354838709676159
858	19.5	27.677419354838708188
866	18.826086956521738358	27.935483870967740216
874	18.208333333333332149	27.3125
882	17.640000000000000568	27.5625
890	17.800000000000000711	27.8125
898	23.02564102564102555	28.0625
906	22.097560975609756184	28.3125
915	20.795454545454546746	28.59375
924	19.659574468085107668	28
933	19.040816326530613622	29.15625
942	18.839999999999999858	29.4375
951	18.288461538461540101	29.71875
960	23.414634146341462895	35.555555555555557135
969	23.071428571428572951	29.363636363636363313
978	22.227272727272726627	28.764705882352942012
987	21	29.029411764705884025
996	20.75	29.294117647058822484
1005	19.705882352941177516	29.558823529411764497
1015	19.150943396226416837	29.852941176470586981
1025	25	23.837209302325582883
1035	24.069767441860463464	23.522727272727273373
1045	22.234042553191489588	23.75
1055	21.100000000000001421	23.977272727272726627
1065	20.882352941176471006	24.204545454545453254
1075	20.283018867924528905	24.431818181818183433
1085	19.727272727272726627	24.111111111111110716
1095	25.465116279069768268	24.886363636363636687
1105	24.021739130434781373	25.113636363636363313
1116	24.260869565217390686	25.363636363636363313
1127	22.539999999999999147	25.613636363636363313
1138	22.760000000000001563	25.863636363636363313
1149	21.277777777777778567	26.113636363636363313
1160	26.363636363636363313	30.526315789473684958
1171	25.456521739130433701	26.613636363636363313
1182	24.122448979591837315	26.863636363636363313
1193	23.859999999999999432	27.113636363636363313
1204	23.1538461538461533	26.755555555555556424
1216	28.279069767441860961	32
1228	27.288888888888887863	27.90909090909091006
1240	25.833333333333332149	31.794871794871795601
1252	25.039999999999999147	28.454545454545453254
1264	23.849056603773583163	32.410256410256408799
1276	23.199999999999999289	29
1288	28.622222222222223564	32.200000000000002842
1300	27.659574468085107668	29.545454545454546746
1313	25.74509803921568718	29.177777777777777146
